yearID,lgID,numerator,denominator,SLG
1946,AL,18262,42239,0.432349250692488
1946,NL,17660,42094,0.41953722620801065
1947,NL,19704,42434,0.464344629306688
1947,AL,18107,42002,0.43109851911813724
1948,NL,19234,42256,0.4551779628928436
1948,AL,19094,42155,0.4529474558178152
1949,NL,19787,42711,0.4632764393247641
1949,AL,18684,41669,0.4483908901101538
1950,NL,20365,42416,0.48012542436816297
1950,AL,20293,42407,0.47852948805621714
1951,NL,19777,42704,0.4631182090670663
1951,AL,19178,42361,0.45272774485965867
1952,NL,18568,41878,0.4433831606093892
1952,AL,18315,42317,0.4328047829477515
1953,AL,19258,42358,0.4546484725435573
1953,NL,20926,42639,0.49077135955346046
1954,AL,18494,41909,0.4412894604977451
1954,NL,20439,42027,0.48633021628952816
1955,AL,18808,41817,0.4497692326087476
1955,NL,20300,41773,0.485959830512532
1956,NL,20026,41849,0.4785299529259958
1956,AL,19656,42007,0.4679220129978337
1957,AL,19046,41987,0.45361659561292783
1957,NL,20435,42919,0.4761294531559449
1958,AL,18939,41684,0.45434699165147296
1958,NL,20391,42143,0.4838525971098403
1959,NL,20199,42330,0.4771793054571226
1959,AL,19166,41964,0.45672481174339913
1960,NL,19509,42176,0.4625616464339909
1960,AL,19295,41838,0.4611836129834122
1961,AL,25837,54904,0.47058502112778666
1961,NL,20361,42128,0.4833127611090011
1962,AL,25952,55239,0.46981299444233243
1962,NL,25758,55449,0.4645349780879727
1963,AL,24849,55011,0.4517096580683863
1963,NL,23579,54803,0.4302501687863803
1964,NL,24479,55284,0.44278633962810215
1964,AL,25058,55180,0.4541138093512142
1965,NL,24576,55377,0.4437943550571537
1965,AL,23887,54362,0.43940620286229354
1966,NL,25148,55385,0.4540579579308477
1966,AL,23731,54082,0.43879664213601566
1967,AL,22547,54179,0.41615755181897046
1967,NL,23653,55026,0.4298513430014902
1968,AL,21537,53709,0.40099424677428364
1968,NL,21982,54913,0.40030593848451185
1969,NL,28664,65751,0.43594774223966176
1969,AL,28620,65536,0.43670654296875
1970,NL,31031,66465,0.4668773038441285
1970,AL,29491,65675,0.4490445374952417
1971,AL,27798,64641,0.43003666403675683
1971,NL,28487,65903,0.43225649818672895
1972,NL,27193,63116,0.43084162494454653
1972,AL,24919,61712,0.4037950479647394
1973,AL,29861,66276,0.45055525378719297
1973,NL,29375,66087,0.4444898391514216
1974,AL,28866,66044,0.4370722548603961
1974,NL,28652,66212,0.4327312269679212
1975,AL,29332,65371,0.44870049410288965
1975,NL,28870,66102,0.43674926628543764
1976,NL,28031,65814,0.42591241984988
1976,AL,27885,65711,0.42435817443046064
1977,NL,31633,66700,0.47425787106446776
1977,AL,37372,77275,0.4836234228405047
1978,AL,34936,76411,0.45721165800735497
1978,NL,28828,65156,0.44244582233409047
1979,AL,37408,76704,0.4876929495202336
1979,NL,30263,66088,0.45791974337247304
1980,NL,29439,66272,0.4442147513278609
1980,AL,36971,77888,0.47466875513557927
1981,NL,18841,43654,0.43159847894809183
1981,AL,22417,50813,0.4411666305866609
1982,NL,29262,66263,0.4416039116852542
1982,AL,37429,77886,0.4805613332306191
1983,AL,37341,77821,0.4798319219747883
1983,NL,29331,65717,0.4463228692727909
1984,NL,28847,65919,0.4376128278645004
1984,AL,36947,77910,0.4742266718007958
1985,AL,37602,77257,0.4867131780938944
1985,NL,29325,65818,0.4455468109027925
1986,NL,29878,65730,0.4545565190932603
1986,AL,37841,77376,0.48905345326716293
1987,AL,39873,77819,0.5123812950564772
1987,NL,32128,66276,0.48476069768845437
1988,AL,35962,77005,0.46700863580286994
1988,NL,28294,65563,0.4315543828073761
1989,NL,28714,65817,0.4362702645213243
1989,AL,35129,77004,0.45619708067113396
1990,NL,30150,65968,0.4570397768615086
1990,AL,35582,76800,0.4633072916666667
1991,NL,29044,65365,0.4443356536372676
1991,AL,36726,77603,0.4732548999394353
1992,NL,28897,65748,0.43951146802944574
1992,AL,35460,77147,0.45964198218984537
1993,NL,36966,77489,0.47704835525042266
1993,AL,37960,77506,0.48976853404897686
1994,NL,27522,55068,0.49978208760078446
1994,AL,28997,55198,0.525327004601616
1995,NL,33840,69049,0.49008674998913815
1995,AL,35847,69522,0.5156209545179943
1996,AL,42563,79090,0.5381590592995322
1996,NL,38144,77711,0.49084428201927655
1997,NL,38221,77203,0.49507143504786083
1997,AL,40467,78235,0.517249312967342
1998,AL,40992,78416,0.5227504590899816
1998,NL,43932,88700,0.49528748590755356
1999,NL,46226,89011,0.5193290716877689
1999,AL,41486,78126,0.5310140030207613
